Word,Length,LgSUBTLWF,Concreteness_Rating,Semantic_Neighborhood_Density,Age_Of_Acquisition,BG_Sum
ribbon,6,2.41,4.89,0.56,5.25,8813
ribs,4,2.63,#,0.55,6.3,3492
rice,4,2.89,4.86,0.64,3.72,6798
rich,4,3.61,2.79,0.67,6.32,6683
riches,6,2.23,3.52,0.5,8.33,12921
riddle,6,2.37,2.5,0.49,7.17,7654
ride,4,3.84,3.75,0.64,4.67,6321
rider,5,2.6,4.07,0.61,6.37,12483
ridicule,8,2,2.07,0.46,11.85,12997
ridiculous,10,3.45,1.79,0.52,7,14193
riding,6,3.21,4.14,0.63,4.67,16411
rifle,5,2.87,4.85,0.6,7.85,7266
rift,4,1.75,3.4,0.54,12,3537
right,5,5.31,3.47,0.69,4.35,4503
righteous,9,2.3,1.43,0.55,10.21,12283
righteousness,13,1.95,1.67,0.48,9.94,20785
rights,6,3.18,#,0.67,4.35,5509
rigid,5,1.98,3.46,0.59,9.16,5116
rim,3,2.1,4.62,0.57,8.05,3760
rind,4,1.18,4.48,0.35,8.95,11531
ring,4,3.68,4.81,0.66,4.53,13688
ringing,7,2.95,3.86,0.5,#,25080
rinse,5,2.08,4.1,0.29,4.95,13656
riot,4,2.52,4.45,0.58,9.95,6287
rip,3,3.01,3.79,0.56,6.11,3400
ripe,4,2.33,3.3,0.48,7.11,5063
ripped,6,2.99,#,0.51,6.11,10054
rise,4,3.15,4.04,0.67,6.72,7664
rising,6,2.63,3.53,0.65,6.72,18145
risk,4,3.4,1.63,0.65,7.58,5859
risky,5,2.6,1.31,0.55,8.16,5952
rite,4,1.88,2.54,0.56,10.42,9446
ritual,6,2.66,2.6,0.61,11.74,9291
ritzy,5,1.3,2.46,0.17,10.28,5095
rival,5,2.29,3.03,0.65,10,7278
rivalry,7,1.74,2.14,0.6,10.86,7937
river,5,3.45,4.89,0.65,4.9,11810
roach,5,2.13,4.96,0.56,7.15,5544
roadblock,9,2.01,4.71,0.37,9.28,7906
roads,5,2.67,#,0.63,4.55,4029
roam,4,2.24,2.85,0.42,8.58,3508
roar,4,2.31,3.81,0.45,4.79,5528
